feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
firstorder_10Percentile,firstorder,original_firstorder_10Percentile,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000007,1.684377815507088e-14,93.39024390243902,20.280654062648086,exact
firstorder_90Percentile,firstorder,original_firstorder_90Percentile,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000007,0.0,134.70658536585367,18.762605013080115,exact
firstorder_Energy,firstorder,original_firstorder_Energy,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999993,7.35915896780483e-10,2950775.8731707316,1689123.6556642686,exact
firstorder_Entropy,firstorder,original_firstorder_Entropy,410,1.0,1.0,1.0,1.3440129767924113e-15,1.3322676295501878e-15,2.6645352591003757e-15,9.178747934740523e-16,5.778207572631915e-15,1.0,1.0,1.000000000000001,4.386400561216376e-16,1.4445071745407396,0.3359343837637022,exact
firstorder_InterquartileRange,firstorder,original_firstorder_InterquartileRange,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999997,2.8072963591784786e-15,22.15609756097561,8.533489944016353,exact
firstorder_Kurtosis,firstorder,original_firstorder_Kurtosis,410,1.0,1.0,1.0,3.124871635164465e-15,2.220446049250313e-15,3.197442310920451e-14,8.042044981833437e-16,7.291171653952586e-15,1.0,1.0,0.9999999999999994,8.772801122432745e-16,3.0224969984236316,0.861546711846046,exact
firstorder_Maximum,firstorder,original_firstorder_Maximum,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999997,0.0,156.78780487804877,20.530794183752022,exact
firstorder_Mean,firstorder,original_firstorder_Mean,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999996,0.0,112.69180849152077,19.291234070531498,exact
firstorder_MeanAbsoluteDeviation,firstorder,original_firstorder_MeanAbsoluteDeviation,410,0.9999999999999998,1.0,1.0,1.2707450268197401e-14,8.881784197001252e-15,1.2789769243681803e-13,6.706690500207285e-16,8.31788494188579e-15,1.0,1.0,1.0000000000000004,0.0,13.038138095590018,4.273473933926443,exact
firstorder_Median,firstorder,original_firstorder_Median,410,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000004,0.0,110.96951219512195,20.86798627039894,exact
firstorder_Minimum,firstorder,original_firstorder_Minimum,410,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,80.88536585365854,18.59593531479406,exact
firstorder_Range,firstorder,original_firstorder_Range,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999997,-1.1229185436713914e-14,75.90243902439025,19.93942641498188,exact
firstorder_RobustMeanAbsoluteDeviation,firstorder,original_firstorder_RobustMeanAbsoluteDeviation,410,1.0,1.0000000000000002,1.0,6.119765940616717e-15,3.552713678800501e-15,6.039613253960852e-14,4.3251843827818935e-16,6.815048641775794e-15,1.0,1.0,1.0000000000000002,0.0,9.41798559354048,3.4613064727577156,exact
firstorder_RootMeanSquared,firstorder,original_firstorder_RootMeanSquared,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000007,-3.368755631014172e-14,114.01710101535083,18.86517278790189,exact
firstorder_Skewness,firstorder,original_firstorder_Skewness,410,0.9999999999999998,1.0,1.0,5.711740997177281e-16,3.3306690738754696e-16,5.995204332975845e-15,8.692144094581138e-16,1.10828877199444e-13,1.0,1.0,0.9999999999999994,8.772801122432744e-17,0.3108110214629513,0.5592025395376844,exact
firstorder_StandardDeviation,firstorder,original_firstorder_StandardDeviation,410,0.9999999999999997,1.0,1.0,3.2017748885775247e-15,1.7763568394002505e-15,2.842170943040401e-14,1.6588024910879884e-16,1.6447550169645063e-15,1.0,1.0,1.0,-2.8072963591784786e-15,16.122813734364687,4.924787558409696,exact
firstorder_TotalEnergy,firstorder,original_firstorder_TotalEnergy,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999993,7.35915896780483e-10,2950775.8731707316,1689123.6556642686,exact
firstorder_Uniformity,firstorder,original_firstorder_Uniformity,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000009,-8.772801122432746e-17,0.4362998111199499,0.11085318518813411,exact
firstorder_Variance,firstorder,original_firstorder_Variance,410,0.9999999999999997,1.0,1.0,1.1940584022895342e-13,7.105427357601002e-14,1.2505552149377763e-12,3.391010152174026e-16,3.5331348372798753e-15,1.0,1.0,1.0000000000000002,-6.737511262028351e-14,284.1986552084855,174.488788319125,exact
