feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,mean_difference,sd_difference,loa_lower,loa_upper,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
firstorder_10Percentile,firstorder,original_firstorder_10Percentile,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000009,7.58800695553268e-15,93.39024390243902,20.280654062648086,exact
firstorder_90Percentile,firstorder,original_firstorder_90Percentile,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-2.337538304894956e-14,134.70658536585367,18.762605013080115,exact
firstorder_Energy,firstorder,original_firstorder_Energy,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999993,3.378380804404581e-10,2950775.8731707316,1689123.6556642686,exact
firstorder_Entropy,firstorder,original_firstorder_Entropy,410,1.0,1.0,1.0,1.3440129767924113e-15,1.3322676295501878e-15,2.6645352591003757e-15,1.3440129767924113e-15,3.906299031236088e-16,5.78378366670138e-16,2.1096475869146845e-15,9.178747934740523e-16,5.778207572631915e-15,1.0,1.0,1.0000000000000009,3.173710219090602e-16,1.4445071745407396,0.3359343837637022,exact
firstorder_InterquartileRange,firstorder,original_firstorder_InterquartileRange,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-7.114937606326426e-16,22.15609756097561,8.533489944016353,exact
firstorder_Kurtosis,firstorder,original_firstorder_Kurtosis,410,1.0,1.0,1.0,3.124871635164465e-15,2.220446049250313e-15,3.197442310920451e-14,-1.2347846322660279e-16,4.438709251137905e-15,-8.823348595456897e-15,8.576391669003692e-15,8.042044981833437e-16,7.291171653952586e-15,1.0,1.0,0.9999999999999996,1.0713511880031512e-15,3.0224969984236316,0.861546711846046,exact
firstorder_Maximum,firstorder,original_firstorder_Maximum,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,4.2273166107145105e-14,156.78780487804877,20.530794183752022,exact
firstorder_Mean,firstorder,original_firstorder_Mean,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-1.607043759174808e-14,112.69180849152077,19.291234070531498,exact
firstorder_MeanAbsoluteDeviation,firstorder,original_firstorder_MeanAbsoluteDeviation,410,1.0,1.0,1.0,1.2707450268197401e-14,8.881784197001252e-15,1.2789769243681803e-13,1.2997732971221346e-17,1.928137096656842e-14,-3.777848936150288e-14,3.7804484827445324e-14,6.706690500207285e-16,8.31788494188579e-15,1.0,1.0,1.0000000000000007,1.3276803883631133e-15,13.038138095590018,4.273473933926443,exact
firstorder_Median,firstorder,original_firstorder_Median,410,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000004,-1.9186179228101935e-15,110.96951219512195,20.86798627039894,exact
firstorder_Minimum,firstorder,original_firstorder_Minimum,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-2.5389309902338616e-15,80.88536585365854,18.59593531479406,exact
firstorder_Range,firstorder,original_firstorder_Range,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.1304107339677306e-15,75.90243902439025,19.93942641498188,exact
firstorder_RobustMeanAbsoluteDeviation,firstorder,original_firstorder_RobustMeanAbsoluteDeviation,410,0.9999999999999999,1.0000000000000002,1.0,6.119765940616717e-15,3.552713678800501e-15,6.039613253960852e-14,6.498866485610672e-17,9.626903901779163e-15,-1.880374298263105e-14,1.8933720312343266e-14,4.3251843827818935e-16,6.815048641775794e-15,1.0,1.0,1.0000000000000002,-3.375594661515851e-16,9.41798559354048,3.4613064727577156,exact
firstorder_RootMeanSquared,firstorder,original_firstorder_RootMeanSquared,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000004,-2.1691405266852557e-14,114.01710101535083,18.86517278790189,exact
firstorder_Skewness,firstorder,original_firstorder_Skewness,410,1.0,1.0,1.0,5.711740997177281e-16,3.3306690738754696e-16,5.995204332975845e-15,3.3206732587242615e-17,9.469219716913695e-16,-1.8227603319278416e-15,1.889173797102327e-15,8.692144094581138e-16,1.10828877199444e-13,1.0,1.0,0.9999999999999996,1.7221716749837668e-16,0.3108110214629513,0.5592025395376844,exact
firstorder_StandardDeviation,firstorder,original_firstorder_StandardDeviation,410,1.0,1.0,1.0,3.2017748885775247e-15,1.7763568394002505e-15,2.842170943040401e-14,-4.332577657073782e-18,5.01930099844003e-15,-9.842162534599532e-15,9.833497379285386e-15,1.6588024910879884e-16,1.6447550169645063e-15,1.0,1.0,1.0000000000000002,7.228046612883444e-16,16.122813734364687,4.924787558409696,exact
firstorder_TotalEnergy,firstorder,original_firstorder_TotalEnergy,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999993,3.378380804404581e-10,2950775.8731707316,1689123.6556642686,exact
firstorder_Uniformity,firstorder,original_firstorder_Uniformity,410,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-5.853042879601725e-17,0.4362998111199499,0.11085318518813411,exact
firstorder_Variance,firstorder,original_firstorder_Variance,410,1.0,1.0,1.0,1.1940584022895342e-13,7.105427357601002e-14,1.2505552149377763e-12,7.902621646502578e-15,1.9106763898765928e-13,-3.665899507693096e-13,3.823951940623147e-13,3.391010152174026e-16,3.5331348372798753e-15,1.0,1.0,1.0000000000000004,-2.1437689478430048e-14,284.1986552084855,174.488788319125,exact
glcm_Autocorrelation,glcm,original_glcm_Autocorrelation,410,0.9999980372091398,0.9999971746587848,0.9999971815498415,0.003286775209659851,0.001723296945231212,0.03079955696169634,0.0031928944316806877,0.004822412840130777,-0.006259034734975636,0.012644823598337011,0.0003540729155543692,0.009465285545878534,0.0,0.8170731707317073,0.9999925869044647,0.003233464672078223,5.472779920873614,2.4309814318293466,discrepant
glcm_ClusterProminence,glcm,original_glcm_ClusterProminence,410,0.9999130576527941,0.9998504616863769,0.9998508263595633,0.07908805376473857,0.02326742054375286,1.385997161931062,0.07874226067728891,0.14659476582904432,-0.20858348034763796,0.36606800170221576,0.004874522694490075,0.07435576360574239,0.0,0.15365853658536585,1.0075645682293874,0.009251172708682477,9.186391854942242,9.576190837726072,discrepant
glcm_ClusterShade,glcm,original_glcm_ClusterShade,410,0.9998368380333971,0.9997321436234998,0.9997327967571693,0.016906852732556998,0.005577394259125746,0.3209311466641078,0.015996810878591488,0.030751310074008963,-0.04427575686646608,0.07626937862364905,0.00973592578615222,6.370348741497454,0.0,0.21951219512195122,1.0096358736671747,0.009931605860074463,0.6294400723806668,1.4888314037989905,discrepant
glcm_ClusterTendency,glcm,original_glcm_ClusterTendency,410,0.9999754595792564,0.9999572195222745,0.9999573238604502,0.004530640209923465,0.002318781358071176,0.0534124570095007,0.004524603740118647,0.006527972333444643,-0.008270222033432854,0.01731942951367015,0.0018203941778467281,0.029233259279575537,0.0,0.3439024390243902,1.002924239639691,-0.00012307028173351052,1.5893615416360674,0.8567001923043395,discrepant
glcm_Contrast,glcm,original_glcm_Contrast,410,0.9997596384518865,0.9994513639689503,0.999452701373251,0.00283966654044097,0.0013029805231684899,0.04282427149964474,-0.0028333936285789957,0.004531229530633607,-0.011714603508620865,0.006047816251462872,0.004567209359696069,0.05879763551905337,0.0,0.37317073170731707,0.9823724609314752,0.0032009473347956526,0.3423246398670316,0.1625866257557964,discrepant
glcm_Correlation,glcm,original_glcm_Correlation,410,0.998964121491882,0.9980083750605775,0.99801322303137,0.00447363496239032,0.002861874997634628,0.06456953635034329,0.004461040047617931,0.005965858758341967,-0.007232043118732324,0.016154123213968186,0.004631956082738404,0.2106146973679292,0.0,0.20243902439024392,0.9772448631762215,0.018501848953670887,0.617039089449938,0.11918544358770003,discrepant
glcm_DifferenceAverage,glcm,original_glcm_DifferenceAverage,410,0.9997587624965856,0.9994811395999216,0.9994824044580685,0.0019981363286761243,0.0011103162962568247,0.022910106063091185,-0.001991178799857205,0.002856855434813253,-0.007590615452091181,0.0036082578523767704,0.0037996486347627247,0.04932164046331119,0.0,0.43658536585365854,0.9851865706463127,0.002563415484010919,0.3074638677595871,0.10879207854735555,discrepant
glcm_DifferenceEntropy,glcm,original_glcm_DifferenceEntropy,410,0.9982436048189225,0.9939579385486842,0.993972586459534,0.015085151742733166,0.010429168713336379,0.10171660288728512,0.015085151742733166,0.014557725866305792,-0.013447990955226185,0.04361829444069252,0.01174129351094999,0.10414701161523499,0.0,0.007317073170731708,1.0476281798328722,-0.027729167341524405,0.8989283074535586,0.18564848244627813,discrepant
glcm_DifferenceVariance,glcm,original_glcm_DifferenceVariance,410,0.9981194631870091,0.9963885956662194,0.9963973722364347,0.003919662424616636,0.0019573566033617984,0.05995786335491737,0.003918775743778146,0.0061139517934092665,-0.008064569771304016,0.015902121258860306,0.009256497746142239,0.13730799230551288,0.0,0.25365853658536586,1.0356656700256457,-0.004311637701876648,0.23076570381929454,0.08374027360067651,discrepant
glcm_Id,glcm,original_glcm_Id,410,0.9997526169032555,0.9994938830076706,0.999495116816115,0.0008685974744979403,0.0005104508634284355,0.010270206137750204,0.0008645717262040209,0.0012113700872072597,-0.001509713644722208,0.0032388570971302495,0.0005991881177945244,0.013238004295868275,0.0,0.7707317073170732,0.986596436104758,0.01228189047314155,0.8518121625092905,0.04704418002045891,discrepant
glcm_Idm,glcm,original_glcm_Idm,410,0.99975427502642,0.999488493993786,0.9994897409328244,0.0009153740218156232,0.0005233796905609323,0.010708350467647065,0.0009115670670754878,0.0012878215813624252,-0.0016125632323948655,0.003435697366545841,0.0006113177378128142,0.013847382111380008,0.0,0.748780487804878,0.9860784861406212,0.01274136784618423,0.8497495961000813,0.04962384383766865,discrepant
glcm_Idmn,glcm,original_glcm_Idmn,410,0.9996113833100914,0.9991899490477267,0.99919192318521,0.0001504254364734645,7.559853603522626e-05,0.0026269991974151585,0.00014978912083344858,0.00025948934675144267,-0.000358809998799379,0.0006583882404662762,7.680587481560762e-05,0.002759762475830802,0.0,0.9804878048780488,0.9789153120934558,0.020826429571195855,0.9806472138458927,0.007513666699667255,discrepant
glcm_Idn,glcm,original_glcm_Idn,410,0.9996151783728695,0.9991503717426721,0.9991524422503523,0.00037475315262689406,0.0002087781593588245,0.005354175233823533,0.0003728669488996836,0.0005690285080521816,-0.0007424289268825922,0.0014881628246819593,0.00022336562057624518,0.00603861522888269,0.0,0.9365853658536586,0.9793656148989548,0.01978113481495663,0.940578930315396,0.016655215077698685,discrepant
glcm_Imc1,glcm,original_glcm_Imc1,410,0.9876206984986102,0.9588718660698442,0.9589680625745081,0.018849825499113636,0.014363277431946112,0.1006683251346196,0.018849825499113636,0.014974972283790125,-0.010501120177115006,0.04820077117534228,0.05173251868863743,0.5714370907027106,0.0,0.0024390243902439024,1.079836625315459,0.041746258510408994,-0.28679109269492026,0.07906114151268291,discrepant
glcm_Imc2,glcm,original_glcm_Imc2,410,0.9909694975531498,0.9884163968651476,0.9884443230767559,0.009056181748186355,0.0035969012775745046,0.14812874533404352,-0.006991087016545878,0.016408390916887287,-0.03915153321364496,0.025169359180553203,0.005295618643331132,0.25373588182499,0.0024390243902439024,0.1926829268292683,1.0312798824098532,-0.02914550669002944,0.7082641610732111,0.1146001566361945,discrepant
glcm_InverseVariance,glcm,original_glcm_InverseVariance,410,0.999724504097104,0.9995097227930917,0.9995109180063143,0.0013603003432927328,0.000830558357796024,0.020364679962894205,-0.0013411593608694502,0.0019435997087808657,-0.005150614790079947,0.0024682960683410464,0.0031720698342542954,0.04868161186376069,0.0,0.5756097560975609,0.9891587186149552,0.0016883416823722046,0.27944123352620887,0.07574224838530905,discrepant
glcm_JointAverage,glcm,original_glcm_JointAverage,410,0.9999991773308106,0.9999988760382232,0.9999988787795904,0.0004339345394499495,0.00022847917199642076,0.004133268701107529,0.000382309245324648,0.0006350512629060844,-0.0008623912299712773,0.0016270097206205732,0.00010999672177540781,0.0024469290965353947,0.0,0.9707317073170731,0.9999396909438616,0.000516036399503085,2.2173644016632945,0.4939662393391829,discrepant
glcm_JointEnergy,glcm,original_glcm_JointEnergy,410,0.9998611256728153,0.9997151476648295,0.9997158422292006,0.0019136595479257385,0.001292651891929203,0.018018910153519002,-0.0019110386148135402,0.0021843202050377142,-0.0061923062166874595,0.0023702289870603794,0.004598185909695856,0.08785408369189222,0.0,0.35853658536585364,1.0065651238400637,-0.0038801210198489374,0.29993073291616895,0.12109712622931118,discrepant
glcm_JointEntropy,glcm,original_glcm_JointEntropy,410,0.9991815884131153,0.9973372284784873,0.9973437057916993,0.029792974697401782,0.020545425652668703,0.17536239594229297,0.029792974697401782,0.026290460640083533,-0.021736328157161942,0.0813222775519655,0.009412258087005392,0.07152143469910228,0.0,0.0,1.0258870676302807,-0.031128980907057336,2.353374143203403,0.5365648093824383,discrepant
glcm_MaximumProbability,glcm,original_glcm_MaximumProbability,410,0.9999365857618328,0.9999333049921407,0.9999334676520685,0.0007428391340479866,0.0003680284822003277,0.017151018557764325,0.00033795879079089134,0.0016012101579694757,-0.002800413118829281,0.0034763307004110635,0.000831174841225589,0.06697286396064037,0.0,0.8439024390243902,1.0008641994230745,-6.205646930617505e-05,0.46287378748058206,0.14146247044116825,discrepant
