feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,mean_difference,sd_difference,loa_lower,loa_upper,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
firstorder_10Percentile,firstorder,original_firstorder_10Percentile,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000009,7.58800695553268e-15,93.39024390243902,20.280654062648086,exact
firstorder_90Percentile,firstorder,original_firstorder_90Percentile,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-2.337538304894956e-14,134.70658536585367,18.762605013080115,exact
firstorder_Energy,firstorder,original_firstorder_Energy,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999993,3.378380804404581e-10,2950775.8731707316,1689123.6556642686,exact
firstorder_Entropy,firstorder,original_firstorder_Entropy,410,1.0,1.0,1.0,1.3440129767924113e-15,1.3322676295501878e-15,2.6645352591003757e-15,1.3440129767924113e-15,3.906299031236088e-16,5.78378366670138e-16,2.1096475869146845e-15,9.178747934740523e-16,5.778207572631915e-15,1.0,1.0,1.0000000000000009,3.173710219090602e-16,1.4445071745407396,0.3359343837637022,exact
firstorder_InterquartileRange,firstorder,original_firstorder_InterquartileRange,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-7.114937606326426e-16,22.15609756097561,8.533489944016353,exact
firstorder_Kurtosis,firstorder,original_firstorder_Kurtosis,410,1.0,1.0,1.0,3.124871635164465e-15,2.220446049250313e-15,3.197442310920451e-14,-1.2347846322660279e-16,4.438709251137905e-15,-8.823348595456897e-15,8.576391669003692e-15,8.042044981833437e-16,7.291171653952586e-15,1.0,1.0,0.9999999999999996,1.0713511880031512e-15,3.0224969984236316,0.861546711846046,exact
firstorder_Maximum,firstorder,original_firstorder_Maximum,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,4.2273166107145105e-14,156.78780487804877,20.530794183752022,exact
firstorder_Mean,firstorder,original_firstorder_Mean,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-1.607043759174808e-14,112.69180849152077,19.291234070531498,exact
firstorder_MeanAbsoluteDeviation,firstorder,original_firstorder_MeanAbsoluteDeviation,410,1.0,1.0,1.0,1.2707450268197401e-14,8.881784197001252e-15,1.2789769243681803e-13,1.2997732971221346e-17,1.928137096656842e-14,-3.777848936150288e-14,3.7804484827445324e-14,6.706690500207285e-16,8.31788494188579e-15,1.0,1.0,1.0000000000000007,1.3276803883631133e-15,13.038138095590018,4.273473933926443,exact
firstorder_Median,firstorder,original_firstorder_Median,410,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000004,-1.9186179228101935e-15,110.96951219512195,20.86798627039894,exact
firstorder_Minimum,firstorder,original_firstorder_Minimum,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-2.5389309902338616e-15,80.88536585365854,18.59593531479406,exact
firstorder_Range,firstorder,original_firstorder_Range,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.1304107339677306e-15,75.90243902439025,19.93942641498188,exact
firstorder_RobustMeanAbsoluteDeviation,firstorder,original_firstorder_RobustMeanAbsoluteDeviation,410,0.9999999999999999,1.0000000000000002,1.0,6.119765940616717e-15,3.552713678800501e-15,6.039613253960852e-14,6.498866485610672e-17,9.626903901779163e-15,-1.880374298263105e-14,1.8933720312343266e-14,4.3251843827818935e-16,6.815048641775794e-15,1.0,1.0,1.0000000000000002,-3.375594661515851e-16,9.41798559354048,3.4613064727577156,exact
firstorder_RootMeanSquared,firstorder,original_firstorder_RootMeanSquared,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000004,-2.1691405266852557e-14,114.01710101535083,18.86517278790189,exact
firstorder_Skewness,firstorder,original_firstorder_Skewness,410,1.0,1.0,1.0,5.711740997177281e-16,3.3306690738754696e-16,5.995204332975845e-15,3.3206732587242615e-17,9.469219716913695e-16,-1.8227603319278416e-15,1.889173797102327e-15,8.692144094581138e-16,1.10828877199444e-13,1.0,1.0,0.9999999999999996,1.7221716749837668e-16,0.3108110214629513,0.5592025395376844,exact
firstorder_StandardDeviation,firstorder,original_firstorder_StandardDeviation,410,1.0,1.0,1.0,3.2017748885775247e-15,1.7763568394002505e-15,2.842170943040401e-14,-4.332577657073782e-18,5.01930099844003e-15,-9.842162534599532e-15,9.833497379285386e-15,1.6588024910879884e-16,1.6447550169645063e-15,1.0,1.0,1.0000000000000002,7.228046612883444e-16,16.122813734364687,4.924787558409696,exact
firstorder_TotalEnergy,firstorder,original_firstorder_TotalEnergy,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999993,3.378380804404581e-10,2950775.8731707316,1689123.6556642686,exact
firstorder_Uniformity,firstorder,original_firstorder_Uniformity,410,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,-5.853042879601725e-17,0.4362998111199499,0.11085318518813411,exact
firstorder_Variance,firstorder,original_firstorder_Variance,410,1.0,1.0,1.0,1.1940584022895342e-13,7.105427357601002e-14,1.2505552149377763e-12,7.902621646502578e-15,1.9106763898765928e-13,-3.665899507693096e-13,3.823951940623147e-13,3.391010152174026e-16,3.5331348372798753e-15,1.0,1.0,1.0000000000000004,-2.1437689478430048e-14,284.1986552084855,174.488788319125,exact
glcm_Autocorrelation,glcm,original_glcm_Autocorrelation,410,1.0,1.0,1.0,4.971632861492165e-16,0.0,5.329070518200751e-15,5.848979837049605e-17,8.63789960378331e-16,-1.6345385239710325e-15,1.7515181207120247e-15,0.0,5.895219335436503e-16,1.0,1.0,1.0000000000000002,-1.2194876303035598e-15,5.475972815305296,2.430968182213877,exact
glcm_ClusterProminence,glcm,original_glcm_ClusterProminence,410,1.0,1.0,1.0,2.655328531579094e-15,8.881784197001252e-16,5.684341886080802e-14,7.311224796312007e-17,6.089713077151678e-15,-1.1862725383254167e-14,1.2008949879180407e-14,1.5675585966792828e-16,2.3528115142058926e-15,1.0,1.0,1.0,-2.2379896640269803e-15,9.265134115619531,9.649469534226292,exact
glcm_ClusterShade,glcm,original_glcm_ClusterShade,410,0.9999999999999999,0.9999999999999998,1.0,1.9818567836127072e-15,8.916478666520788e-16,2.220446049250313e-14,2.7818908888875324e-16,3.307077641855498e-15,-6.203683089148023e-15,6.760061266925529e-15,1.3437057808563944e-15,2.958024829092982e-12,1.0,1.0,1.0000000000000009,1.1174381962223295e-16,0.6454368832592581,1.5034228965541565,exact
glcm_ClusterTendency,glcm,original_glcm_ClusterTendency,410,0.9999999999999999,1.0000000000000002,1.0,2.1730584811260686e-16,1.1102230246251565e-16,1.7763568394002505e-15,1.218537466052001e-18,3.6473262224386597e-16,-7.136574021319253e-16,7.160944770640293e-16,1.2758314601232663e-16,6.517115081152471e-16,1.0,1.0,0.9999999999999998,-2.1835481034807409e-16,1.5938861453761857,0.859226474745211,exact
glcm_Contrast,glcm,original_glcm_Contrast,410,1.0,0.9999999999999999,1.0,3.6149944826209367e-17,0.0,6.661338147750939e-16,6.769652589177784e-20,7.501400691676403e-17,-1.469597570309657e-16,1.4709515008274924e-16,0.0,9.749145934989656e-16,1.0,1.0,1.0,-3.013984129486749e-17,0.3394912462384526,0.15975902358450034,exact
glcm_Correlation,glcm,original_glcm_Correlation,410,0.9999999999999999,0.9999999999999999,1.0,3.4652582294140603e-16,3.3306690738754696e-16,1.27675647831893e-15,3.4289559674045944e-16,2.0183978471343753e-16,-5.271038129787809e-17,7.38501574778797e-16,5.476576779452295e-16,2.935048037944292e-14,1.0,1.0,0.9999999999999998,5.366657944761029e-16,0.6215001294975556,0.11659413987512836,exact
glcm_DifferenceAverage,glcm,original_glcm_DifferenceAverage,410,0.9999999999999999,1.0000000000000002,1.0,9.477513624848898e-18,0.0,2.220446049250313e-16,-2.7078610356711135e-19,3.339143806098281e-17,-6.571800470309341e-17,6.517643249595919e-17,0.0,5.351016787292179e-16,1.0,1.0,1.0000000000000002,-2.3346338745685695e-17,0.3054726889597299,0.10720635697145953,exact
glcm_DifferenceEntropy,glcm,original_glcm_DifferenceEntropy,410,0.9999999999999997,1.0,1.0,9.303533553307027e-16,8.881784197001252e-16,1.7763568394002505e-15,9.303533553307027e-16,2.5679512385022847e-16,4.2703491258425494e-16,1.4336717980771505e-15,1.0296726654519502e-15,4.081637226182424e-15,1.0,1.0,1.0000000000000007,1.5203956582647355e-16,0.9140134591962908,0.19483278511882776,exact
glcm_DifferenceVariance,glcm,original_glcm_DifferenceVariance,410,0.9999999999999999,1.0,1.0,4.941846390099782e-18,0.0,1.1102230246251565e-16,7.446617848095562e-19,2.2413210192818746e-17,-4.3185230193115185e-17,4.46745537627343e-17,0.0,5.996182137998283e-16,1.0,1.0,0.9999999999999998,2.2167593306643374e-17,0.2346844795630727,0.08689032702543965,exact
glcm_Id,glcm,original_glcm_Id,410,1.0,0.9999999999999998,1.0,8.908862807357964e-17,1.1102230246251565e-16,3.3306690738754696e-16,-8.123583107013341e-19,1.2530208228975317e-16,-2.464044395986175e-16,2.4477972297721485e-16,1.2649401193256212e-16,4.4376158962885267e-16,1.0,1.0,0.9999999999999998,1.231421319393336e-16,0.8526767342354946,0.04642510513393012,exact
glcm_Idm,glcm,original_glcm_Idm,410,1.0,1.0,1.0,9.639985286989164e-17,1.1102230246251565e-16,5.551115123125783e-16,6.498866485610673e-18,1.3587368154412573e-16,-2.598135493408758e-16,2.7281128231209713e-16,1.2704545557905274e-16,7.76349520333367e-16,1.0,1.0,1.0,3.011925062526148e-16,0.850661163167157,0.04894503182457892,exact
glcm_Idmn,glcm,original_glcm_Idmn,410,1.0,1.0,1.0,9.287963352351919e-17,0.0,6.661338147750939e-16,4.06179155350667e-18,1.6436596997411418e-16,-3.180955095957571e-16,3.2621909270277045e-16,0.0,6.801930509629289e-16,1.0,1.0,0.9999999999999925,7.18119933286221e-15,0.9807970029667261,0.007358102863849959,exact
glcm_Idn,glcm,original_glcm_Idn,410,0.9999999999999998,1.0,1.0,9.477513624848897e-17,0.0,5.551115123125783e-16,3.791005449939559e-18,1.6537777518417855e-16,-3.203494339110504e-16,3.2793144481092954e-16,0.0,5.912814281299479e-16,1.0,1.0,0.9999999999999992,7.91069915694692e-16,0.9409517972642958,0.016317824407584475,exact
glcm_Imc1,glcm,original_glcm_Imc1,410,0.9999999999999999,1.0,1.0,4.548072623118784e-15,3.219646771412954e-15,3.191891195797325e-14,-4.536970392872532e-15,4.449754776534693e-15,-1.3258489754880528e-14,4.184548969135465e-15,1.2497638170324542e-14,1.612812110006482e-13,1.0,1.0,1.0000000000000129,-1.086584995838672e-15,-0.267941267195802,0.08644322296447142,exact
glcm_Imc2,glcm,original_glcm_Imc2,410,1.0,1.0,1.0,1.0390993621101074e-15,8.881784197001252e-16,1.9300533393717956e-14,9.708612640111953e-16,1.2834161146196891e-15,-1.5446343206433952e-15,3.486356848665786e-15,1.1849204018466877e-15,1.1169753298887916e-12,1.0,1.0,0.9999999999999969,3.0170524569354856e-15,0.7012730740566645,0.1192618303103593,exact
glcm_InverseVariance,glcm,original_glcm_InverseVariance,410,1.0,0.9999999999999999,1.0,1.9293509879156682e-17,0.0,2.220446049250313e-16,-1.692413147294446e-18,4.6732540733824325e-17,-9.328819298559012e-17,8.990336669100123e-17,0.0,7.333664441547847e-16,1.0,1.0,1.0,1.845566059408662e-17,0.2781000741653394,0.074941751503323,exact
glcm_JointAverage,glcm,original_glcm_JointAverage,410,1.0,1.0,1.0,1.7059524524728015e-16,0.0,1.3322676295501878e-15,-2.653703814957691e-17,3.0449654706833516e-16,-6.233502704035138e-16,5.702761941043599e-16,0.0,4.66331583479434e-16,1.0,1.0,0.9999999999999996,3.519039660533347e-16,2.217746710908619,0.49393685504815654,exact
glcm_JointEnergy,glcm,original_glcm_JointEnergy,410,1.0,1.0000000000000002,1.0,3.405135252356425e-17,0.0,2.220446049250313e-16,3.858701975831337e-18,6.248793247848573e-17,-1.186176456820007e-16,1.2633504963366335e-16,0.0,8.790499365912797e-16,1.0,1.0,0.9999999999999998,1.5262854162746307e-17,0.2980196943013554,0.12190907390029791,exact
glcm_JointEntropy,glcm,original_glcm_JointEntropy,410,1.0,1.0,1.0,4.2248047878540714e-15,3.9968028886505635e-15,1.1546319456101628e-14,4.2248047878540714e-15,1.697079323437278e-15,8.985293139170065e-16,7.551080261791137e-15,1.7206183105065566e-15,6.1283666989536324e-15,1.0,1.0,1.0000000000000022,-1.6739359493144614e-15,2.3831671179008005,0.5509057665535779,exact
glcm_MaximumProbability,glcm,original_glcm_MaximumProbability,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999997,-1.6309497689707007e-17,0.463211746271373,0.1415937012832064,exact
glcm_SumAverage,glcm,original_glcm_SumAverage,410,1.0,1.0,1.0,1.0939758584111298e-16,0.0,1.7763568394002505e-15,7.582010899879118e-18,3.278269037617044e-16,-6.349587204730614e-16,6.501227422728197e-16,0.0,3.508326097998573e-16,1.0,1.0,0.9999999999999996,7.038079321066694e-16,4.435493421817238,0.9878737100963131,exact
